 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_py_only_pd_grp_numpy,pandas,9,0.009556,9,python_only,2024-07-07T16:04:07.769551,
vanilla_py_only_pd_grp_numpy,pandas,90,0.013019,9,python_only,2024-07-07T16:04:07.927437,
vanilla_py_only_pd_grp_numpy,pandas,900,0.011174,9,python_only,2024-07-07T16:04:08.077949,
vanilla_py_only_pd_grp_numpy,pandas,9000,0.008009,9,python_only,2024-07-07T16:04:08.221438,
vanilla_py_only_pd_grp_numpy,pandas,90000,0.016101,9,python_only,2024-07-07T16:04:08.378926,
vanilla_py_only_pd_grp_numpy,pandas,900000,0.076853,9,python_only,2024-07-07T16:04:08.592306,
vanilla_py_only_pd_grp_numba,pandas,9,0.010019,9,python_only,2024-07-07T16:04:08.736905,
vanilla_py_only_pd_grp_numba,pandas,90,0.013011,9,python_only,2024-07-07T16:04:08.894034,
vanilla_py_only_pd_grp_numba,pandas,900,0.016021,9,python_only,2024-07-07T16:04:09.062983,
vanilla_py_only_pd_grp_numba,pandas,9000,0.014240,9,python_only,2024-07-07T16:04:09.227721,
vanilla_py_only_pd_grp_numba,pandas,90000,0.017011,9,python_only,2024-07-07T16:04:09.395753,
vanilla_py_only_pd_grp_numba,pandas,900000,0.078013,9,python_only,2024-07-07T16:04:09.619154,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_py_only_pd_grp_numpy,pandas,9,0.007001,9,python_only,2024-07-07T16:04:32.507037,
vanilla_py_only_pd_grp_numpy,pandas,90,0.009509,9,python_only,2024-07-07T16:04:32.667921,
vanilla_py_only_pd_grp_numpy,pandas,900,0.010128,9,python_only,2024-07-07T16:04:32.820595,
vanilla_py_only_pd_grp_numpy,pandas,9000,0.009091,9,python_only,2024-07-07T16:04:32.963944,
vanilla_py_only_pd_grp_numpy,pandas,90000,0.014271,9,python_only,2024-07-07T16:04:33.115553,
vanilla_py_only_pd_grp_numpy,pandas,900000,0.084775,9,python_only,2024-07-07T16:04:33.334891,
vanilla_py_only_pd_grp_numpy,pandas,9000000,0.863525,9,python_only,2024-07-07T16:04:34.333689,
vanilla_py_only_pd_grp_numba,pandas,9,0.008021,9,python_only,2024-07-07T16:04:34.477111,
vanilla_py_only_pd_grp_numba,pandas,90,0.012014,9,python_only,2024-07-07T16:04:34.635112,
vanilla_py_only_pd_grp_numba,pandas,900,0.010008,9,python_only,2024-07-07T16:04:34.802454,
vanilla_py_only_pd_grp_numba,pandas,9000,0.015023,9,python_only,2024-07-07T16:04:34.960593,
vanilla_py_only_pd_grp_numba,pandas,90000,0.021015,9,python_only,2024-07-07T16:04:35.135966,
vanilla_py_only_pd_grp_numba,pandas,900000,0.087680,9,python_only,2024-07-07T16:04:35.365265,
vanilla_py_only_pd_grp_numba,pandas,9000000,0.841540,9,python_only,2024-07-07T16:04:36.346931,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_py_only_pd_grp_numpy,pandas,9,0.009549,9,python_only,2024-07-07T16:07:08.098313,
vanilla_py_only_pd_grp_numpy,pandas,90,0.017626,9,python_only,2024-07-07T16:07:08.268884,
vanilla_py_only_pd_grp_numpy,pandas,900,0.008098,9,python_only,2024-07-07T16:07:08.412203,
vanilla_py_only_pd_grp_numpy,pandas,9000,0.010028,9,python_only,2024-07-07T16:07:08.561143,
vanilla_py_only_pd_grp_numpy,pandas,90000,0.018121,9,python_only,2024-07-07T16:07:08.716442,
vanilla_py_only_pd_grp_numpy,pandas,900000,0.086117,9,python_only,2024-07-07T16:07:08.945942,
vanilla_py_only_pd_grp_numpy,pandas,9000000,1.028389,9,python_only,2024-07-07T16:07:10.110084,
vanilla_py_only_pd_grp_numba,pandas,9,0.006257,9,python_only,2024-07-07T16:07:10.263997,
vanilla_py_only_pd_grp_numba,pandas,90,0.006236,9,python_only,2024-07-07T16:07:10.431842,
vanilla_py_only_pd_grp_numba,pandas,900,0.005528,9,python_only,2024-07-07T16:07:10.600970,
vanilla_py_only_pd_grp_numba,pandas,9000,0.006305,9,python_only,2024-07-07T16:07:10.752404,
vanilla_py_only_pd_grp_numba,pandas,90000,0.013004,9,python_only,2024-07-07T16:07:10.919661,
vanilla_py_only_pd_grp_numba,pandas,900000,0.099529,9,python_only,2024-07-07T16:07:11.169284,
vanilla_py_only_pd_grp_numba,pandas,9000000,1.004368,9,python_only,2024-07-07T16:07:12.318939,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
vanilla_py_only_pd_grp_numpy,pandas,9,0.005018,9,python_only,2024-07-07T16:13:53.561570,
vanilla_py_only_pd_grp_numpy,pandas,90,0.005013,9,python_only,2024-07-07T16:13:53.737835,
vanilla_py_only_pd_grp_numpy,pandas,900,0.011097,9,python_only,2024-07-07T16:13:53.883920,
vanilla_py_only_pd_grp_numpy,pandas,9000,0.005019,9,python_only,2024-07-07T16:13:54.023840,
vanilla_py_only_pd_grp_numpy,pandas,90000,0.013008,9,python_only,2024-07-07T16:13:54.184134,
vanilla_py_only_pd_grp_numpy,pandas,900000,0.096220,9,python_only,2024-07-07T16:13:54.416767,
vanilla_py_only_pd_grp_numpy,pandas,9000000,0.903489,9,python_only,2024-07-07T16:13:55.459033,
vanilla_py_only_pd_grp_numba,pandas,9,0.060485,9,python_only,2024-07-07T16:13:55.676140,
vanilla_py_only_pd_grp_numba,pandas,90,0.005016,9,python_only,2024-07-07T16:13:55.868948,
vanilla_py_only_pd_grp_numba,pandas,900,0.006171,9,python_only,2024-07-07T16:13:56.021417,
vanilla_py_only_pd_grp_numba,pandas,9000,0.015022,9,python_only,2024-07-07T16:13:56.188014,
vanilla_py_only_pd_grp_numba,pandas,90000,0.013008,9,python_only,2024-07-07T16:13:56.361278,
vanilla_py_only_pd_grp_numba,pandas,900000,0.095008,9,python_only,2024-07-07T16:13:56.601649,
vanilla_py_only_pd_grp_numba,pandas,9000000,0.885336,9,python_only,2024-07-07T16:13:57.631186,
