# 2023-07-18
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,
cond_sql_join,sql,90,1.652777,9,2023-07-19T06:00:37.146881
cond_fluent_join,fluent,90,0.871859,9,2023-07-19T06:00:38.154671
cond_sql_null,sql,90,0.642385,9,2023-07-19T06:00:38.933582
cond_fluent_null,fluent,90,0.555474,9,2023-07-19T06:00:39.621422
cond_fluent_zero,fluent,90,0.613533,9,2023-07-19T06:00:40.366793
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,
cond_sql_join,sql,90,1.702355,9,2023-07-19T06:07:43.605301
cond_fluent_join,fluent,90,1.035135,9,2023-07-19T06:07:44.776798
cond_sql_null,sql,90,0.715177,9,2023-07-19T06:07:45.629670
cond_fluent_null,fluent,90,0.481565,9,2023-07-19T06:07:46.241369
cond_fluent_zero,fluent,90,0.562356,9,2023-07-19T06:07:46.946460
cond_pandas,pandas,90,4.778733,9,2023-07-19T06:07:51.857814
cond_pandas_numba,pandas,90,15.026733,9,2023-07-19T06:08:07.029354
cond_sql_nested,sql,90,0.842639,9,2023-07-19T06:08:08.048116
cond_fluent_nested,fluent,90,0.829770,9,2023-07-19T06:08:09.024095
cond_fluent_window,fluent,90,1.087462,9,2023-07-19T06:08:10.263134
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,
cond_sql_join,sql,90,1.643074,9,2023-07-19T06:19:18.943110
cond_fluent_join,fluent,90,0.874648,9,2023-07-19T06:19:19.954820
cond_sql_null,sql,90,0.763503,9,2023-07-19T06:19:20.849753
cond_fluent_null,fluent,90,0.445564,9,2023-07-19T06:19:21.420768
cond_fluent_zero,fluent,90,0.607145,9,2023-07-19T06:19:22.183588
cond_pandas,pandas,90,4.068570,9,2023-07-19T06:19:26.382551
cond_pandas_numba,pandas,90,13.712160,9,2023-07-19T06:19:40.237727
cond_sql_nested,sql,90,0.785269,9,2023-07-19T06:19:41.196491
cond_fluent_nested,fluent,90,0.840100,9,2023-07-19T06:19:42.186952
cond_fluent_window,fluent,90,1.124722,9,2023-07-19T06:19:43.461106
cond_rdd_grpmap,rdd,90,28.692069,9,2023-07-19T06:20:12.307838
# 2023-09-03
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,
cond_sql_join,sql,90000,1.620777,9,2023-09-03T15:56:00.161640
cond_fluent_join,fluent,90000,0.901135,9,2023-09-03T15:56:01.235533
cond_sql_null,sql,90000,0.807383,9,2023-09-03T15:56:02.191906
cond_fluent_null,fluent,90000,0.474863,9,2023-09-03T15:56:02.807881
cond_fluent_zero,fluent,90000,0.582863,9,2023-09-03T15:56:03.524841
cond_pandas,pandas,90000,7.924811,9,2023-09-03T15:56:11.594032
cond_pandas_numba,pandas,90000,16.079109,9,2023-09-03T15:56:27.820041
cond_sql_nested,sql,90000,0.963826,9,2023-09-03T15:56:28.931394
cond_fluent_nested,fluent,90000,1.085951,9,2023-09-03T15:56:30.173322
cond_fluent_window,fluent,90000,1.857683,9,2023-09-03T15:56:32.183853
cond_rdd_reduce,rdd,90000,25.973301,9,2023-09-03T15:56:58.304747
cond_rdd_mappart,rdd,90000,24.567636,9,2023-09-03T15:57:23.022490
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_sql_join,sql,90,1.644436,9,pyspark,2023-12-25T13:38:35.260778,
cond_fluent_join,fluent,90,0.953881,9,pyspark,2023-12-25T13:38:36.403091,
cond_sql_null,sql,90,0.716320,9,pyspark,2023-12-25T13:38:37.279755,
cond_fluent_null,fluent,90,0.473412,9,pyspark,2023-12-25T13:38:37.903674,
cond_fluent_zero,fluent,90,0.683454,9,pyspark,2023-12-25T13:38:38.761626,
cond_pandas,pandas,90,5.044028,9,pyspark,2023-12-25T13:38:43.957630,
cond_pandas_numba,pandas,90,10.905276,9,pyspark,2023-12-25T13:38:55.040958,
cond_sql_nested,sql,90,0.808743,9,pyspark,2023-12-25T13:38:56.016043,
cond_fluent_nested,fluent,90,0.834783,9,pyspark,2023-12-25T13:38:57.000024,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_sql_join,sql,90,1.523287,9,pyspark,2023-12-25T13:41:53.335345,
cond_fluent_join,fluent,90,0.935111,9,pyspark,2023-12-25T13:41:54.436060,
cond_sql_null,sql,90,0.805328,9,pyspark,2023-12-25T13:41:55.396579,
cond_fluent_null,fluent,90,0.444841,9,pyspark,2023-12-25T13:41:56.000501,
cond_fluent_zero,fluent,90,0.534728,9,pyspark,2023-12-25T13:41:56.686074,
cond_pandas,pandas,90,4.236911,9,pyspark,2023-12-25T13:42:01.086226,
cond_pandas_numba,pandas,90,10.658842,9,pyspark,2023-12-25T13:42:11.907648,
cond_sql_nested,sql,90,0.777160,9,pyspark,2023-12-25T13:42:12.844579,
cond_fluent_nested,fluent,90,0.811995,9,pyspark,2023-12-25T13:42:13.808581,
cond_fluent_window,fluent,90,1.074001,9,pyspark,2023-12-25T13:42:15.044579,
cond_rdd_grpmap,rdd,90,31.524479,9,pyspark,2023-12-25T13:42:46.725057,
cond_rdd_reduce,rdd,90,23.910311,9,pyspark,2023-12-25T13:43:10.804701,
cond_rdd_mappart,rdd,90,24.104466,9,pyspark,2023-12-25T13:43:35.078039,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_sql_join,sql,90,1.629973,9,pyspark,2023-12-25T13:59:49.222700,
cond_fluent_join,fluent,90,0.919623,9,pyspark,2023-12-25T13:59:50.303493,
cond_sql_null,sql,90,0.779971,9,pyspark,2023-12-25T13:59:51.253392,
cond_fluent_null,fluent,90,0.477946,9,pyspark,2023-12-25T13:59:51.882091,
cond_fluent_zero,fluent,90,0.628351,9,pyspark,2023-12-25T13:59:52.662308,
cond_pandas,pandas,90,4.384694,9,pyspark,2023-12-25T13:59:57.192637,
cond_pandas_numba,pandas,90,10.790169,9,pyspark,2023-12-25T14:00:08.138652,
cond_sql_nested,sql,90,0.797673,9,pyspark,2023-12-25T14:00:09.086938,
cond_fluent_nested,fluent,90,0.918164,9,pyspark,2023-12-25T14:00:10.166608,
cond_fluent_window,fluent,90,1.108876,9,pyspark,2023-12-25T14:00:11.428575,
cond_rdd_grpmap,rdd,90,31.336614,9,pyspark,2023-12-25T14:00:42.920742,
cond_rdd_reduce,rdd,90,24.585995,9,pyspark,2023-12-25T14:01:07.661126,
